University Name,Location,Type,Average Annual Fees (USD),Popular Courses,Academic Requirements,Test Score Requirements
University of Petroleum and Energy Studies,"Dehradun, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Ashoka University,"Haryana, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Indian Institute of Information Technology Sri City,"Chittoor, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
DAV Institute of Engineering & Technology,"Punjab, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Lovely Professional University,"Punjab, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Somaiya Vidyavihar,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
NorthCap University,"Haryana, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Dharamsinh Desai University,"Gujarat, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Health Sciences Andhra Pradesh,"Andhra Pradesh, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
"Allahabad Agricultural Institute, Deemed University","India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Assam Agricultural University,"Assam, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Ahmedabad University,"Gujarat, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
All India Institute of Medical Sciences,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
AISECT University,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Alagappa University,"Tamil Nadu, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Allahabad University,"Uttar Pradesh, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Open International University for Alternative Medicines,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Indian Board of Alternative Medicine,"West Bengal, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Amity University,"Uttar Pradesh, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Amrita Vishwa Vidyapeetham,"Tamil Nadu, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Amravati University,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aligarh Muslim University,"Uttar Pradesh, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Andhra University,"Andhra Pradesh, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Acharya Ranga Agricultural University,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Annamalai University,"Tamil Nadu, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
"Anna University of Technology, Tirunelveli","Tamil Nadu, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Anna University,"Tamil Nadu, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Awadhesh Pratap Singh University,"Madhya Pradesh, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
ARYA Institute of Engineering & Technology,"Rajasthan, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Assam University,"Assam, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Gujarat Ayurved University,"Gujarat, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Dr. Babasaheb Ambedkar Marathwada Universtiy,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Berhampur University,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Banasthali University,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bankura University,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Birsa Agricultural University,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Babasaheb Bhimrao Ambedkar University,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bidhan Chandra Agricultural University,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bharathidasan University,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bengal Engineering College,"West Bengal, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bangalore University,"Karnataka, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bhagwant University,"India, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bharathiar University,"Tamil Nadu, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
